Time,Light,ECG,Temp,OXI,Battery Voltage (mV), IR Value, SPO2
47,305.0,4.0,25.0,4355.0,431.00,4422.0
50,306.0,4.0,25.0,4548.0,431.00,4669.0
52,305.0,4.0,25.0,4355.0,431.00,4422.0
55,306.0,4.0,25.0,4548.0,431.00,4669.0
58,305.0,4.0,25.0,4355.0,431.00,4422.0
1175,299.0,5.0,0.0,4782.0,431.00,4656.0
1248,300.0,4.0,0.0,4817.0,431.00,4758.0
1322,300.0,4.0,0.0,4792.0,431.00,4806.0
1399,300.0,4.0,0.0,4719.0,431.00,4796.0
1473,299.0,4.0,0.0,4584.0,431.00,4723.0
1548,299.0,4.0,0.0,4468.0,431.00,4610.0
1637,299.0,4.0,0.0,4401.0,431.00,4468.0
1695,299.0,4.0,0.0,4409.0,431.00,4399.0
1773,299.0,4.0,0.0,4516.0,431.00,4405.0
1842,299.0,4.0,0.0,4649.0,431.00,4500.0
1916,299.0,4.0,0.0,4771.0,431.00,4645.0
1989,299.0,4.0,0.0,4811.0,431.00,4774.0
2063,299.0,5.0,0.0,4747.0,431.00,4800.0
2138,298.0,4.0,0.0,4618.0,431.00,4741.0
2210,298.0,4.0,0.0,4474.0,431.00,4611.0
2284,298.0,4.0,0.0,4397.0,431.00,4476.0
2362,298.0,4.0,0.0,4404.0,431.00,4393.0
2436,298.0,4.0,0.0,4510.0,431.00,4404.0
2509,299.0,4.0,0.0,4647.0,431.00,4501.0
2583,299.0,4.0,0.0,4757.0,431.00,4622.0
2657,302.0,4.0,0.0,4768.0,431.00,4729.0
2731,307.0,4.0,0.0,4592.0,431.00,4701.0
2805,307.0,4.0,0.0,4362.0,431.00,4451.0
2874,307.0,4.0,0.0,4409.0,431.00,4346.0
2948,307.0,4.0,0.0,4664.0,434.00,4538.0
3023,308.0,4.0,0.0,4752.0,434.00,4740.0
3095,308.0,4.0,0.0,4575.0,434.00,4690.0
3169,307.0,4.0,0.0,4346.0,434.00,4420.0
3243,307.0,4.0,0.0,4429.0,433.00,4357.0
3317,308.0,4.0,0.0,4681.0,431.00,4550.0
3390,308.0,4.0,0.0,4750.0,431.00,4743.0
3464,308.0,4.0,0.0,4577.0,431.00,4694.0
3533,307.0,4.0,0.0,4362.0,431.00,4449.0
3607,307.0,4.0,0.0,4404.0,431.00,4348.0
3691,308.0,4.0,0.0,4647.0,431.00,4516.0
3755,308.0,4.0,0.0,4760.0,431.00,4733.0
3828,308.0,4.0,0.0,4606.0,431.00,4714.0
3902,307.0,4.0,0.0,4375.0,431.00,4460.0
3976,307.0,4.0,0.0,4397.0,431.00,4346.0
4049,308.0,4.0,0.0,4638.0,431.00,4501.0
4123,309.0,4.0,0.0,4760.0,431.00,4727.0
4197,309.0,4.0,0.0,4607.0,431.00,4712.0
4267,308.0,4.0,0.0,4376.0,431.00,4472.0
4340,308.0,4.0,0.0,4393.0,431.00,4338.0
