Time,Light,ECG,Temp,OXI,Battery Voltage (mV)
5746,352.0,26.0,0.0,3367.0,464.00,3154.0
5817,351.0,26.0,0.0,3462.0,464.00,3216.0
5881,351.0,26.0,0.0,3526.0,464.00,3307.0
5947,351.0,26.0,0.0,3547.0,464.00,3406.0
6017,351.0,26.0,0.0,3532.0,464.00,3490.0
6082,350.0,26.0,0.0,3477.0,464.00,3539.0
6152,351.0,26.0,0.0,3389.0,464.00,3561.0
6217,351.0,26.0,0.0,3299.0,464.00,3536.0
6287,351.0,26.0,0.0,3198.0,464.00,3448.0
6361,352.0,26.0,0.0,3143.0,464.00,3364.0
6419,352.0,26.0,0.0,3123.0,464.00,3269.0
6488,353.0,26.0,0.0,3141.0,464.00,3189.0
6553,353.0,26.0,0.0,3210.0,464.00,3132.0
6623,350.0,26.0,0.0,3340.0,464.00,3160.0
6688,347.0,26.0,0.0,3502.0,464.00,3261.0
6758,345.0,26.0,0.0,3572.0,464.00,3421.0
6824,345.0,26.0,0.0,3527.0,464.00,3550.0
6893,345.0,26.0,0.0,3384.0,464.00,3581.0
6959,345.0,26.0,0.0,3223.0,464.00,3473.0
7028,346.0,26.0,0.0,3137.0,464.00,3305.0
7094,346.0,26.0,0.0,3181.0,464.00,3175.0
7164,346.0,26.0,0.0,3332.0,464.00,3160.0
7230,345.0,26.0,0.0,3502.0,464.00,3257.0
7303,345.0,26.0,0.0,3586.0,464.00,3454.0
7381,344.0,26.0,0.0,3496.0,464.00,3585.0
7436,345.0,26.0,0.0,3324.0,464.00,3551.0
7504,345.0,26.0,0.0,3174.0,464.00,3391.0
7569,346.0,26.0,0.0,3154.0,464.00,3227.0
7638,346.0,26.0,0.0,3286.0,464.00,3158.0
7711,345.0,26.0,0.0,3479.0,464.00,3246.0
7773,344.0,26.0,0.0,3585.0,464.00,3434.0
7843,344.0,26.0,0.0,3508.0,464.00,3586.0
7974,346.0,26.0,23.75,3225.0,464.00,3477.0
8044,354.0,49.0,23.75,3178.0,464.00,3438.0
8109,354.0,49.0,23.75,3149.0,464.00,3382.0
8179,354.0,49.0,23.75,3124.0,464.00,3329.0
8246,355.0,49.0,23.75,3112.0,464.00,3262.0
8310,355.0,25.0,23.75,3114.0,464.00,3217.0
8380,355.0,27.0,23.75,3133.0,464.00,3168.0
8445,354.0,26.0,23.75,3168.0,464.00,3139.0
8511,354.0,26.0,23.75,3208.0,464.00,3119.0
8581,354.0,26.0,23.75,3259.0,464.00,3120.0
8646,354.0,26.0,23.75,3320.0,464.00,3130.0
8712,363.0,25.0,23.75,3294.0,464.00,3091.0
8781,366.0,49.0,23.75,3225.0,464.00,3082.0
8847,367.0,49.0,23.75,3157.0,464.00,3094.0
8912,367.0,49.0,23.75,3107.0,464.00,3122.0
8981,367.0,49.0,23.75,3080.0,464.00,3178.0
9043,366.0,49.0,23.75,3084.0,464.00,3240.0
9116,366.0,49.0,23.75,3089.0,464.00,3274.0
9179,366.0,49.0,23.75,3099.0,463.00,3309.0
9244,365.0,49.0,23.75,3105.0,464.00,3324.0
9310,365.0,49.0,23.75,3116.0,463.00,3351.0
9375,365.0,49.0,23.75,3115.0,463.00,3371.0
9441,368.0,49.0,23.75,3270.0,464.00,3431.0
9506,366.0,49.0,23.75,3399.0,463.00,3169.0
9572,366.0,49.0,23.75,3114.0,464.00,3007.0
9637,367.0,49.0,23.75,3015.0,463.00,3249.0
9699,383.0,49.0,23.75,3274.0,463.00,3417.0
9764,377.0,49.0,23.75,3408.0,463.00,3153.0
9840,366.0,49.0,23.75,3130.0,463.00,3007.0
9895,366.0,49.0,23.75,3019.0,464.00,3237.0
9957,382.0,49.0,23.75,3244.0,463.00,3425.0
10022,365.0,49.0,23.75,3413.0,464.00,3196.0
10088,365.0,49.0,23.75,3172.0,464.00,3002.0
10153,365.0,49.0,23.75,3005.0,463.00,3200.0
10219,382.0,49.0,23.75,3227.0,463.00,3426.0
10280,365.0,49.0,23.75,3430.0,463.00,3236.0
10346,364.0,49.0,23.75,3220.0,463.00,3009.0
10411,365.0,49.0,23.75,3011.0,463.00,3151.0
10477,378.0,49.0,23.75,3170.0,463.00,3418.0
10538,365.0,49.0,23.75,3418.0,463.00,3312.0
10604,364.0,49.0,23.75,3300.0,463.00,3040.0
10669,361.0,49.0,23.75,3057.0,463.00,3109.0
10735,354.0,49.0,23.75,3059.0,464.00,3286.0
10801,353.0,49.0,23.75,3185.0,463.00,3435.0
10868,352.0,49.0,23.75,3371.0,464.00,3456.0
10932,352.0,49.0,23.75,3471.0,464.00,3320.0
10999,351.0,49.0,23.75,3412.0,464.00,3131.0
11063,353.0,49.0,23.75,3212.0,464.00,3035.0
11128,354.0,49.0,23.75,3053.0,464.00,3119.0
11195,355.0,49.0,23.75,3067.0,464.00,3316.0
11259,354.0,49.0,23.75,3235.0,464.00,3459.0
11325,354.0,49.0,23.75,3417.0,464.00,3409.0
11390,353.0,49.0,23.75,3446.0,464.00,3196.0
11456,353.0,49.0,23.75,3277.0,464.00,3044.0
11521,354.0,49.0,23.75,3084.0,464.00,3077.0
11587,354.0,49.0,23.75,3044.0,464.00,3253.0
11652,354.0,49.0,23.75,3174.0,464.00,3430.0
11725,354.0,49.0,23.75,3368.0,464.00,3450.0
11780,353.0,49.0,23.75,3468.0,464.00,3279.0
11845,353.0,49.0,23.75,3368.0,464.00,3089.0
11910,353.0,49.0,23.75,3152.0,464.00,3036.0
11976,354.0,49.0,23.75,3039.0,464.00,3168.0
12041,355.0,49.0,23.75,3105.0,464.00,3368.0
12107,355.0,49.0,23.75,3301.0,464.00,3466.0
12173,354.0,49.0,23.75,3454.0,464.00,3336.0
12238,353.0,49.0,23.75,3405.0,464.00,3132.0
12304,353.0,49.0,23.75,3203.0,464.00,3034.0
12369,354.0,49.0,23.75,3044.0,464.00,3131.0
12435,355.0,49.0,23.75,3078.0,464.00,3338.0
12500,354.0,49.0,23.75,3261.0,464.00,3459.0
12566,354.0,49.0,23.75,3433.0,464.00,3392.0
12631,353.0,49.0,23.75,3438.0,464.00,3181.0
12697,353.0,49.0,23.75,3261.0,464.00,3042.0
12783,354.0,49.0,23.75,3077.0,464.00,3086.0
12828,354.0,49.0,23.75,3047.0,464.00,3257.0
12894,354.0,49.0,23.75,3172.0,464.00,3430.0
12959,354.0,49.0,23.75,3370.0,464.00,3441.0
13024,353.0,49.0,23.75,3466.0,464.00,3280.0
13090,352.0,49.0,23.75,3374.0,464.00,3105.0
13157,353.0,49.0,23.75,3185.0,464.00,3038.0
13221,354.0,49.0,23.75,3049.0,464.00,3132.0
13287,354.0,49.0,23.75,3072.0,464.00,3325.0
13352,354.0,49.0,23.75,3237.0,464.00,3458.0
13413,353.0,49.0,23.75,3414.0,464.00,3403.0
13479,352.0,49.0,23.75,3451.0,464.00,3210.0
13546,352.0,49.0,23.75,3292.0,464.00,3049.0
13610,353.0,49.0,23.75,3090.0,464.00,3069.0
13684,354.0,49.0,23.75,3038.0,464.00,3246.0
13741,354.0,49.0,23.75,3175.0,464.00,3433.0
13807,353.0,49.0,23.75,3376.0,464.00,3441.0
13872,352.0,49.0,23.75,3462.0,464.00,3256.0
13938,352.0,49.0,23.75,3325.0,464.00,3064.0
14003,353.0,49.0,23.75,3118.0,464.00,3056.0
14069,355.0,49.0,23.75,3047.0,464.00,3203.0
14134,355.0,49.0,23.75,3132.0,464.00,3334.0
14204,354.0,26.0,23.75,3199.0,464.00,3217.0
14270,354.0,26.0,23.75,3392.0,464.00,3185.0
14346,353.0,26.0,23.75,3556.0,464.00,3341.0
14404,352.0,26.0,23.75,3557.0,464.00,3477.0
14474,352.0,26.0,23.75,3500.0,464.00,3496.0
14605,352.0,49.0,24.25,3476.0,464.00,3483.0
14675,353.0,49.0,24.25,3489.0,464.00,3473.0
14740,353.0,49.0,24.25,3496.0,464.00,3484.0
14806,353.0,49.0,24.25,3496.0,464.00,3487.0
14876,353.0,49.0,24.25,3494.0,464.00,3480.0
14941,353.0,49.0,24.25,3494.0,464.00,3489.0
15007,352.0,49.0,24.25,3477.0,464.00,3521.0
15072,352.0,49.0,24.25,3447.0,464.00,3527.0
15142,352.0,49.0,24.25,3435.0,464.00,3527.0
15207,352.0,49.0,24.25,3420.0,464.00,3529.0
15273,352.0,49.0,24.25,3396.0,464.00,3540.0
15342,353.0,49.0,24.25,3378.0,464.00,3534.0
15408,353.0,49.0,24.25,3379.0,464.00,3532.0
15474,359.0,49.0,24.25,3376.0,464.00,3498.0
15539,358.0,49.0,24.25,3455.0,464.00,3514.0
15609,351.0,49.0,24.25,3443.0,464.00,3531.0
15674,350.0,49.0,24.25,3425.0,464.00,3530.0
15740,351.0,49.0,24.25,3410.0,464.00,3535.0
15810,351.0,49.0,24.25,3393.0,464.00,3532.0
15875,353.0,49.0,24.25,3379.0,464.00,3529.0
15940,354.0,49.0,24.25,3393.0,464.00,3514.0
16006,354.0,49.0,24.25,3435.0,464.00,3484.0
16072,354.0,49.0,24.25,3476.0,464.00,3445.0
16141,353.0,49.0,24.25,3500.0,464.00,3403.0
16207,353.0,49.0,24.25,3510.0,464.00,3351.0
16272,353.0,49.0,24.25,3523.0,464.00,3347.0
16338,353.0,49.0,24.25,3532.0,464.00,3366.0
16407,352.0,49.0,24.25,3543.0,464.00,3396.0
16473,353.0,42.0,24.25,3540.0,464.00,3437.0
16539,353.0,48.0,24.25,3525.0,464.00,3483.0
16608,353.0,48.0,24.25,3497.0,464.00,3511.0
16674,353.0,49.0,24.25,3450.0,464.00,3538.0
16739,353.0,49.0,24.25,3409.0,463.00,3535.0
16809,353.0,49.0,24.25,3374.0,464.00,3538.0
16874,353.0,49.0,24.25,3355.0,464.00,3523.0
16940,353.0,49.0,24.25,3379.0,464.00,3525.0
17005,353.0,49.0,24.25,3405.0,464.00,3514.0
17082,353.0,49.0,24.25,3434.0,464.00,3502.0
17140,353.0,49.0,24.25,3456.0,464.00,3488.0
