Time,Light,ECG,Temp,OXI,Battery Voltage (mV), IR Value, SPO2, Fail safe, RESP Value
97,622.0,1023.0,21.75,715.0,439.00,789.0,760.0,428.0
126,622.0,1023.0,21.75,718.0,439.00,771.0,778.0,429.0
211,622.0,1023.0,21.75,730.0,439.00,762.0,792.0,431.0
295,622.0,1023.0,21.75,750.0,439.00,747.0,808.0,432.0
375,622.0,1023.0,21.75,763.0,439.00,736.0,810.0,434.0
446,622.0,1023.0,21.75,776.0,439.00,726.0,806.0,435.0
542,622.0,1023.0,21.75,791.0,439.00,724.0,799.0,436.0
638,622.0,1023.0,21.75,800.0,439.00,726.0,784.0,438.0
702,622.0,1023.0,21.75,801.0,439.00,736.0,759.0,439.0
778,622.0,1023.0,21.75,799.0,439.00,743.0,743.0,441.0
874,621.0,1023.0,21.75,791.0,439.00,758.0,730.0,441.0
961,621.0,1023.0,21.75,778.0,439.00,771.0,724.0,442.0
1023,621.0,1023.0,21.75,763.0,439.00,783.0,717.0,442.0
1120,621.0,1023.0,21.75,745.0,439.00,796.0,722.0,442.0
1190,621.0,1023.0,21.75,729.0,439.00,801.0,734.0,442.0
1287,621.0,1023.0,21.75,720.0,439.00,800.0,747.0,441.0
1356,621.0,1023.0,21.75,715.0,439.00,787.0,763.0,441.0
1440,622.0,1023.0,21.75,725.0,439.00,774.0,781.0,439.0
1539,622.0,1023.0,21.75,741.0,439.00,749.0,802.0,438.0
1617,622.0,1023.0,21.75,755.0,439.00,734.0,804.0,436.0
1688,622.0,1023.0,21.75,764.0,439.00,722.0,804.0,435.0
1769,622.0,1023.0,21.75,779.0,439.00,717.0,796.0,433.0
1864,622.0,1023.0,21.75,791.0,439.00,718.0,779.0,431.0
1953,622.0,1023.0,21.75,799.0,439.00,726.0,760.0,430.0
2033,622.0,1023.0,21.75,800.0,439.00,743.0,743.0,428.0
2112,621.0,1023.0,21.75,791.0,439.00,755.0,732.0,427.0
2200,621.0,1023.0,21.75,778.0,439.00,771.0,722.0,427.0
2282,621.0,1023.0,21.75,766.0,439.00,785.0,717.0,427.0
2366,621.0,1023.0,21.75,747.0,439.00,802.0,729.0,427.0
2446,621.0,1023.0,21.75,725.0,439.00,800.0,742.0,427.0
